,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
12,Dalano Banton,23,10.1,2.0,4.7,0.423,0.6,2.0,0.302,1.4,2.8,0.6,0.8,0.824,1.5,1.2,0.5,0.5,0.6,5.2
13,Khem Birch,30,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.2,0.3,0.8,1.3,0.4,0.3,0.3,0.4,2.2
14,Jeff Dowtin,25,7.6,1.1,2.1,0.522,0.1,0.4,0.25,1.0,1.7,0.3,0.3,1.0,1.1,1.0,0.2,0.1,0.2,2.5
15,Ron Harper Jr.,22,4.0,1.0,2.0,0.5,1.0,1.5,0.667,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0
16,Justin Champagnie,21,3.7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3,0.3,0.0,0.0,0.0,2.0
0,Lauri Markkanen,25,34.0,8.3,15.6,0.531,3.0,7.1,0.429,5.3,8.5,4.2,4.9,0.857,8.5,1.9,0.6,0.6,1.9,23.8
1,Jordan Clarkson,30,32.6,7.3,16.6,0.444,2.7,7.5,0.353,4.7,9.0,3.2,3.9,0.805,3.9,4.5,0.5,0.3,2.8,20.5
2,Mike Conley,35,29.1,3.3,8.7,0.377,1.8,5.0,0.355,1.5,3.7,1.5,2.0,0.75,2.3,7.5,1.1,0.2,1.8,9.9
3,Kelly Olynyk,31,28.7,4.1,8.1,0.512,1.5,3.5,0.426,2.7,4.6,2.9,3.4,0.833,4.9,3.2,1.1,0.6,2.3,12.6
4,Malik Beasley,26,26.8,5.1,12.5,0.411,3.2,8.5,0.375,1.9,3.9,0.7,0.8,0.818,3.7,1.5,0.8,0.2,1.0,14.2
5,Jarred Vanderbilt,23,24.8,3.4,5.9,0.568,0.4,1.1,0.366,3.0,4.8,1.1,1.5,0.684,7.9,2.8,1.2,0.2,1.4,8.2
6,Collin Sexton,24,24.1,4.8,9.8,0.487,1.0,2.6,0.386,3.8,7.2,3.6,4.2,0.844,2.2,2.9,0.6,0.1,1.7,14.1
